CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
06.981.381/0001-13;2020-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2018-04-01;2019-03-31;3.01;Receita de Venda de Bens e/ou Serviços;186731.0000000000;S
06.981.381/0001-13;2020-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2019-04-01;2020-03-31;3.01;Receita de Venda de Bens e/ou Serviços;244801.0000000000;S
06.981.381/0001-13;2020-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2018-04-01;2019-03-31;3.02;Custo dos Bens e/ou Serviços Vendidos;-104461.0000000000;S
06.981.381/0001-13;2020-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2019-04-01;2020-03-31;3.02;Custo dos Bens e/ou Serviços Vendidos;-99136.0000000000;S
06.981.381/0001-13;2020-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2018-04-01;2019-03-31;3.03;Resultado Bruto;82270.0000000000;S
06.981.381/0001-13;2020-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2019-04-01;2020-03-31;3.03;Resultado Bruto;145665.0000000000;S
06.981.381/0001-13;2020-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2018-04-01;2019-03-31;3.04;Despesas/Receitas Operacionais;-59290.0000000000;S
06.981.381/0001-13;2020-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2019-04-01;2020-03-31;3.04;Despesas/Receitas Operacionais;-126309.0000000000;S
06.981.381/0001-13;2020-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2018-04-01;2019-03-31;3.04.01;Despesas com Vendas;0.0000000000;S
06.981.381/0001-13;2020-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2019-04-01;2020-03-31;3.04.01;Despesas com Vendas;0.0000000000;S
06.981.381/0001-13;2020-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2018-04-01;2019-03-31;3.04.02;Despesas Gerais e Administrativas;-53396.0000000000;S
06.981.381/0001-13;2020-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2019-04-01;2020-03-31;3.04.02;Despesas Gerais e Administrativas;-70933.0000000000;S
06.981.381/0001-13;2020-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2018-04-01;2019-03-31;3.04.03;Perdas pela Não Recuperabilidade de Ativos;0.0000000000;S
